"skills","Key","group","Plant doctors","Extension workers","Agri-dealer employees","Foundation","Practitioner","Advanced","level1","level2","level3","Description"
"Reduce illness risk from irrigation practices","WATER MANAGEMENT","Extension workers",0,0,0,0,1,1,,"Practitioner","Advanced","Is able to help reduce the risk of vector-borne and fecal-oral diseases and illnesses resulting from certain irrigation practices"
"Access reliable information","EXTENSION SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,1,"Foundation",,"Advanced",
"Accurately record data","RECORD MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Achieve organization's mission","PROJECT MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,0,1,,,"Advanced",
"Actively listen","COMMUNICATION SKILLS","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced","Identify elements of active listening and use them. "
"Address cash shortages","AGRIBUSINESS ADMINISTRATION","Agri-dealer employees",0,0,1,0,0,1,,,"Advanced","Determine ways to raise money inside the business or from several sources"
"Address needs of the nutritionally vulnerable ","NUTRITION","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced",
"Adjust to rapid changes/challenges","AGRIBUSINESS ADMINISTRATION","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced",
"Adopt appropriate pricing strategies","AGRICULTURAL MARKETING","Agri-dealer employees",0,0,1,1,0,0,"Foundation",,,"Use various pricing methods to properly allocate costs to products"
"Advice on safe input use","ADVISORY SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Advocate for thoughtful location of livestock ","ADVISORY SERVICES","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced",
"Analyse agro-ecological zone","EXTENSION SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced",
"Analyse business opportunities","AGRIBUSINESS ADMINISTRATION","Agri-dealer employees",0,0,1,1,1,1,"Foundation","Practitioner","Advanced","Look for opportunities to improve and expand the business"
"Analyse consumer preferences","AGRICULTURAL MARKETING","Extension workers & agri-dealer employees",0,1,1,0,1,0,,"Practitioner",,"Identify consumers' likes/dislikes, attitudes and behaviours toward commodities and factors influencing their choices "
"Analyse farmer context","EXTENSION SERVICES","Plant doctors & Extension workers",1,1,0,1,0,0,"Foundation",,,
"Analyse input demand","INPUT SUPPLY","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Analyse nutrition's contribution to health ","NUTRITION","Extension workers",0,1,0,0,0,1,,,"Advanced","Observe and analyze how nutrition contributes to good and bad health outcomes in personal, family, community experiences"
"Analyse soil nutrients","CROP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced",
"Analyse solution’s cost/benefits","AGRIBUSINESS ADMINISTRATION","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Analyze markets for nutrition value chains ","VALUE CHAIN DEVELOPMENT","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced",
"Apply adult learning principles","ADVISORY SERVICES","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Able to clearly state the purpose and objectives of the lesson; Instructs through hands-on learning and focuses on application"
"Apply critical thinking","SOFT SKILLS","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Apply gender analysis integration principles","GENDER","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Identify and describe gendered roles and division of labor in a household, on the farm, in processing, marketing, and in the community at large and develop targeted interventions"
"Apply group dynamics principles","ADVISORY SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Apply irrigation techniques","WATER MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced",
"Apply leadership principles","RELATIONSHIP MANAGEMENT","Plant doctors & Extension workers",1,1,0,0,0,1,,,"Advanced",
"Apply nutrition-sensitive extension approaches ","NUTRITION","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Ensure extension methods integrate nutrition specific goals and actions in the household and community level"
"Apply youth inclusive approaches","ADVISORY SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Appreciate gender differences","GENDER","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Assess weather parameters","EXTENSION SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Build networks","RELATIONSHIP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Build strategic partnerships","RELATIONSHIP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,0,1,,,"Advanced",
"Calculate input ratios","EXTENSION SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced",
"Calculate product costs","AGRICULTURAL MARKETING","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Carefully display billboards and price tags","AGRICULTURAL MARKETING","Agri-dealer employees",0,0,1,1,1,1,"Foundation","Practitioner","Advanced","Strategically display promotional material to inform customers of products and their costs"
"Carry high turn-over stocks","STOCK MANAGEMENT","Agri-dealer employees",0,0,1,0,1,0,,"Practitioner",,"Stock products that sell fast in a given period of time"
"Carry out financial planning","AGRIBUSINESS ADMINISTRATION","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,0,,"Practitioner",,
"Channels women’s needs to actors","GENDER","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced","Identify specific actions to ensure the design of agricultural technologies meets women’s needs. Engage in discussions with agricultural researchers, input suppliers, and/or technology designers about the needs of women farmers for input into new technologies. "
"Clearly display stock","STOCK MANAGEMENT","Agri-dealer employees",0,0,1,1,1,1,"Foundation","Practitioner","Advanced","Groups similar items together in a way they can be easily seen and reached"
"Collaborate to implement","RELATIONSHIP MANAGEMENT","Plant doctors & Extension workers",1,1,0,1,1,0,"Foundation","Practitioner",,
"Communicate disease risks by specific livestock","ADVISORY SERVICES","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced",
"Communicate effectively","COMMUNICATION SKILLS","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Communicate effectively with community leaders","COMMUNICATION SKILLS","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced","Positively interact with community leaders to enable them become skilled teachers in the community"
"Conduct organization's meetings","PROJECT MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced",
"Conduct basic gender analysis ","GENDER","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced",
"Conduct community forums","PARTICIPATORY APPROACHES","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced","Moderate and facilitate forums to identify specific needs and ways of addressing those needs."
"Conduct field demonstrations","ADVISORY SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced","Use practical on-farm teaching to show benefits of adopting a new practice"
"Conduct field visits","EXTENSION SERVICES","Plant doctors & Extension workers",1,1,0,1,1,0,"Foundation","Practitioner",,"Visit farmer fields to teach in a comfortable environment and build relationships with farmers"
"Conduct focus group discussions","ADVISORY SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Conduct market analysis","AGRICULTURAL MARKETING","Agri-dealer employees",0,0,1,0,0,1,,,"Advanced","Research on market trends, competitors, customer preferences, demand  and other factors influencing market"
"Conduct needs assessment","MONITORING AND EVALUATION","Plant doctors & agri-dealer employees",1,0,1,0,1,0,,"Practitioner",,"Search out and identify needs and problems of different stakeholders in a community"
"Conduct participant observations","MONITORING AND EVALUATION","Plant doctors & Extension workers",1,1,0,1,0,0,"Foundation",,,"Gather information about behavioral actions and reactions through direct observation and participation in the activities being evaluated "
"Conduct rural appraisals","PARTICIPATORY APPROACHES","Plant doctors & Extension workers",1,1,0,0,1,1,,"Practitioner","Advanced",
"Conduct situational analysis","PROJECT MANAGEMENT","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Need to understand where the program is needed; who the program beneficiaries are; what strengths, weaknesses, opportunities and threats exist in the community "
"Conduct stakeholder analysis","PROJECT MANAGEMENT","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced",
"Conduct surveys","MONITORING AND EVALUATION","Plant doctors & Extension workers",1,1,0,1,0,0,"Foundation",,,"Use appropriate tools to collect data on knowledge, attitude, skills and adoption practices"
"Connects content to be shared ","COMMUNICATION SKILLS","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced","Describe a personal learning that was relevant and examined what made it so. Decide on concrete actions to connect key content to people’s personal needs. "
"Consult with experts","EXTENSION SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Correctly interpret records","RECORD MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Create demand for products","AGRICULTURAL MARKETING","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Deliver inputs timely","INPUT SUPPLY","Agri-dealer employees",0,0,1,1,1,0,"Foundation","Practitioner",,"Supply inputs whilst considering the season, time and arising circumstances"
"Demonstrates respect","SOFT SKILLS","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced",
"Describe nutrition actions for positive health ","NUTRITION","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Describe nutrition actions that lead to positive health outcomes. Motivate farming households and value chain actors to identify how nutrition affects them "
"Describe technology design gender issues ","GENDER","Extension workers",0,1,0,0,0,1,,,"Advanced","Describe the key gender issues related to Extension Advisory Services and agricultural technology design, use, and dissemination."
"Describe food & nutrition security relationship","NUTRITION","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Understands the relationship between seasonal food availability, fluctuations in income, food and nutrition security and health"
"Design experiments","MONITORING AND EVALUATION","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced",
"Design extension programmes","PROJECT MANAGEMENT","Plant doctors & Extension workers",1,1,0,1,0,0,"Foundation",,,
"Design marketing strategies","AGRICULTURAL MARKETING","Agri-dealer employees",0,0,1,0,0,1,,,"Advanced","Design approaches to win customers to your business by considering price, product, loaction and promotion"
"Design solutions","MONITORING AND EVALUATION","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,0,1,,,"Advanced",
"Design survey instruments","MONITORING AND EVALUATION","Plant doctors & Extension workers",1,1,0,0,0,1,,,"Advanced","Design survey tools for data collection, research and monitoring and evaluation"
"Detect emerging pests","CROP DIAGNOSTICS","Plant doctors & Extension workers",1,1,0,1,0,0,"Foundation",,,
"Develop grant proposal","PROJECT MANAGEMENT","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Writes proposal to secure funding for problems identified and describe steps on how they can be addressed"
"Develop work plan","PROJECT MANAGEMENT","Extension workers",0,1,1,0,1,1,,"Practitioner","Advanced","Develop detailed outline of activities, processes and timelines to attain extension goals"
"Diagnose plant problems","CROP DIAGNOSTICS","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced",
"Educate on aggregating produce","CROP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,0,,"Practitioner",,
"Encourage agricultural practices for WASH","WATER MANAGEMENT","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced","Encourages people on the importance of adopting agricultural practices that reduce the risk of infection and explain the contribution of infection and illness, and diarrhea in particular, to poor nutrition. "
