"SkillID","skills","Skill ID + label","Key","group","Plant doctors","Extension workers","Agri-dealer employees","Foundation","Practitioner","Advanced","level1","level2","level3","Description","Source","Mapped certification"
"S001","Reduce illness risk from irrigation practices","S001 - Reduce illness risk from irrigation practices","WATER MANAGEMENT","Extension workers",0,0,0,0,1,1,,"Practitioner","Advanced"," Able to describe the risks of using untreated wastewater for irrigation (e.g. fecal- oral contamination). Is able to explain how certain (e.g. flood) irrigation practices can increase vector-borne disease. Is able to explain how concepts of community-managed Multiple Use Water Services (MUS) relate to gender equity. Able to describe preventive measures to reduce risk of associated illness (use of mosquito nets, etc.). Able to explore, with farmers, the incidence of diarrhea, malaria, etc. in a community. Able to link farmers to existing MUS where they exist, supports their development where not yet existent.","https://ingenaes.illinois.edu/wp-content/uploads/INGENAES-2017_08-Nutrition-and-Gender-in-Extension-Competency-Framework.pdf",
"S002","Access reliable information","S002 - Access reliable information","EXTENSION SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,1,"Foundation",," Advanced","Able to evaluate the sources of information and only advise reliable information. Able to take decision based on reliability of the information and efficacy proved in the past. Able to evaluate the credibility of the information based on the reliable sources. Able to identify and use only accurate sources and channels of information, and are Able to make sure that farmers have heard and fully understood any information correctly that is advised to them.","https://www.fao.org/3/t0060e/T0060E05.htm",
"S003","Accurately record data","S003 - Accurately record data","RECORD MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,"Able to see value in data collection and management. Able to document important field information/ observations and maintain accurate records; Able to accurately record qualitative and quantitative data;Able to select and handle appropriate recording devices and tools to record the relevant required information;Able to summarize analyze and interpret data for reporting; ","http://ecoursesonline.iasri.res.in/Courses/Extension%20Methodologies%20for%20Transfer%20of%20ag.%20Tech/Data%20Files/lect08.html;  https://letstalkscience.ca/educational-resources/learning-strategies/recording-data",
"S004","Achieve organization's mission","S004 - Achieve organization's mission","PROJECT MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,0,1,,,"Advanced","Align project management goals with broader organizational goals. Success of a project is defined by the degree to which a project helps the organization to achieve business goals.","Organizational Project Management | How to Align Project Management with Organizational Strategy (villanovau.com)",
"S005","Actively listen","S005 - Actively listen","COMMUNICATION SKILLS","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation"," Practitioner"," Advanced","Identify elements of active listening to make a conscious effort to hear the words that another person is saying and the complete message being communicated.","Active Listening - Communication Skills Training from MindTools.com",
"S006","Address cash shortages","S006 - Address cash shortages","AGRIBUSINESS ADMINISTRATION","Agri-dealer employees",0,0,1,0,0,1,,,"Advanced","Able to determine ways to raise money inside the business or from several sources either by collecting outstanding debts, increasing prices, borrowing money, negotiating better payment terms with suppliers and with customers, identifying any non-core business assets that can be sold for cash or using factoring or invoice discounting ","https://www.business.qld.gov.au/running-business/growing-business/responding-growth/cash-shortfalls",
"S007","Address needs of the nutritionally vulnerable ","S007 - Address needs of the nutritionally vulnerable ","NUTRITION","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Able to describe how some groups of people, typically women, children, and disadvantaged groups, are more vulnerable to poor nutrition due to biological needs and socioeconomic reasons. Able to identify local groups of people who may be more vulnerable to poor nutrition. Able to demonstrate effective ways to dialogue with farmers about the nutritional needs of the vulnerable in their households. Able to facilitate farmers’ examination of opportunities to improve nutrition of vulnerable persons within a household. Able to demonstrate effective engagement of vulnerable through interactions with diverse farmers. Able to support the efforts of colleagues (health, education sector) working to improve nutrition and food security, as well as those working to dismantle systems leading to inequity","https://ingenaes.illinois.edu/wp-content/uploads/INGENAES-2017_08-Nutrition-and-Gender-in-Extension-Competency-Framework.pdf",
"S008","Adjust to rapid changes/challenges","S008 - Adjust to rapid changes/challenges","AGRIBUSINESS ADMINISTRATION","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced","Able to take a strucutured approach to understanding and planning for change,  implementing interventions and communicating these effectively.","The Four Principles of Change Management - How to Support Change in Your Organization (mindtools.com)",
"S009","Adopt appropriate pricing strategies","S009 - Adopt appropriate pricing strategies","AGRICULTURAL MARKETING","Agri-dealer employees",0,0,1,1,0,0,"Foundation",,,"Able to use various pricing methods to properly allocate costs to products. The agrodealer can identify break-even points, scalculate costs and add a mark-up, set a price based on what the competition charges, set a price based on how much the customer believes what you’re selling is worth, set a high price and lowering it as the market evolves or setting a low price to enter a competitive market and raising it later","https://www.bdc.ca/en/articles-tools/marketing-sales-export/marketing/pricing-5-common-strategies",
"S010","Advice on safe input use","S010 - Advice on safe input use","ADVISORY SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation"," Practitioner"," Advanced","Able to advise based on IPM principles, Aware of Safe use of agrichemicals; Aware of safe disposal procedures for agrichemicals; Able to recommend keeping in mind pesticides laws and regulation","Farm safety and handling agrichemicals - Better Health Channel; https://www.hsa.ie/eng/Publications_and_Forms/Publications/Agriculture_and_Forestry/HSA_Farm_Safety_Chemicals.pdf; https://www.epa.gov/sites/default/files/2015-09/documents/ghscriteria-summary.pdf",
"S011","Advocate for thoughtful location of livestock ","S011 - Advocate for thoughtful location of livestock ","ADVISORY SERVICES","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced",,,
"S012","Analyse agro-ecological zone","S012 - Analyse agro-ecological zone","EXTENSION SERVICES","Extension workers",0,1,0,0,1,1,,"Practitioner"," Advanced","Should be able to  identify areas with specific climate, soil, and terrain constraints to crop production. Should be able to estimate  the extent and productivity of rain-fed and irrigated cultivable land and potential for expansion. Should be able to quantify cultivation potential of land currently in forest ecosystems; and assess impacts of climate change on food production, geographical shifts of cultivable land.","Agro-Ecological Zones Assessments (eolss.net)",
"S013","Analyse business opportunities","S013 - Analyse business opportunities","AGRIBUSINESS ADMINISTRATION","Agri-dealer employees",0,0,1,1,1,1,"Foundation"," Practitioner"," Advanced","Able to look for opportunities to improve and expand the business by researching your customers and competition, getting a high level view of the market and analyse business environment factors such as government regulations, technological developments, social and cultural norms etc ","https://blog.marketresearch.com/5-keys-to-conducting-a-market-opportunity-analysis",
"S014","Analyse consumer preferences","S014 - Analyse consumer preferences","AGRICULTURAL MARKETING","Extension workers & agri-dealer employees",0,1,1,0,1,0,,"Practitioner",,"Identify consumers' likes/dislikes, attitudes and behaviours toward commodities and factors influencing their choices ",,
"S015","Analyse farmer context","S015 - Analyse farmer context","EXTENSION SERVICES","Plant doctors & Extension workers",1,1,0,1,0,0,"Foundation",,,"Able to  to investigate and clarify  farmers’ knowledge and attitudes towards suggested practices. Also attempts to provide a better understanding of the effect of farm size on farmers’ beliefs and attitudes.  Moreover, could suggest that further extension of recommended practices should include type of follow up-  training services for smallholders to improve their knowledge of relevant practices etc.","Assessment of Farmers’ Knowledge and Attitudes Towards the Commercialisation of Tailor-made Fertilisers in Thailand (scialert.net)",
"S016","Analyse input demand","S016 - Analyse input demand","INPUT SUPPLY","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,"Able to collect and understand granular data on crop health, crop variety, crop acreage that is ground verified and is also  able to quantify to generate reports. Is able to Combine crop data with environmental data.","Demand Estimation for Agricultural Inputs - GeoSpoc",
"S017","Analyse nutrition's contribution to health ","S017 - Analyse nutrition's contribution to health ","NUTRITION","Extension workers",0,1,0,0,0,1,,,"Advanced"," Able to identify where poor nutrition is contributing to bad health outcomes in individuals, families & communities.  Able to propose improvements in nutrition which will lead to improved health outcomes. These outcomes may include “infant, child and maternal health, stronger immune systems, safer pregnancy and childbirth, lower risk of non-communicable diseases (such as diabetes and cardiovascular disease), and longevity"".","https://www.who.int/health-topics/nutrition",
"S018","Analyse soil nutrients","S018 - Analyse soil nutrients","CROP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced","Should have general insight into basic biogeochemical cycles of an ecosystem. Good understanding on use of anlytical instruments like balance, colorimeter, dipsticks , pH meter etc. Some advance techniques like X-ray fluorescence and neutron activation analysis is much preferred.","Soil Nutrient Analysis: Nitrogen, Phosphorus, and Potassium | Environmental Sciences | JoVE; https://www.hill-laboratories.com/assets/Documents/Technical-Notes/Agriculture/SOIL-TOTAL-NUTRIENTS-ANALYSIS-INTERPRETATION.pdf",
"S019","Analyse solution’s cost/benefits","S019 - Analyse solution’s cost/benefits","AGRIBUSINESS ADMINISTRATION","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation"," Practitioner"," Advanced","Able to make key decisions based on an analysis of the potential reward of an intervention against the associated cost. Costs may be financial as well as moral or image based for the organization. The opportunity cost of an intervention is also often considered as part of the analysis.","Cost-Benefit Analysis (CBA) Definition (investopedia.com)",
"S020","Analyze markets for nutrition value chains ","S020 - Analyze markets for nutrition value chains ","VALUE CHAIN DEVELOPMENT","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Able to conduct a step by step market analysis that includes: gathering data on consumer interest and demand for crop/product in question, assessing marketing structure and points for possible sale, exploring alternate marketing options. Able to assist Farmer Based Organizations and Marketing Associations in analyzing demand for highly nutritious crops and products, such as legumes, poultry and eggs, meat, fresh and processed vegetables and fruit, nuts, etc","https://ingenaes.illinois.edu/wp-content/uploads/INGENAES-2017_08-Nutrition-and-Gender-in-Extension-Competency-Framework.pdf",
"S021","Apply adult learning principles","S021 - Apply adult learning principles","ADVISORY SERVICES","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Able to clearly state the purpose and objectives of your lesson or workshop, instruct through hands-on learning so that instruction is task-oriented instead of memorization-based, focus on application and on the quality of a few experiences, not on the quantity of information. Able to apply principles such as: Tell adults what you're about to tell them; Organize your material for presentation in a logical order; Resist the temptation to try to tell them everything; Understand what you want the adults to do with the information you are presenting; Know when to teach and when to learn; Help the adults transfer the concepts to their own lives","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
"S022","Apply critical thinking","S022 - Apply critical thinking","SOFT SKILLS","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation"," Practitioner"," Advanced","Identify central issues and assumptions in an argument, recognize important relationships, make correct inferences from data, deduce conclusions from information or data provided, interpret whether conclusions are warranted on the basis of the data given, and evaluate evidence or author it.","Pascarella & Terenzini,1991, p. 118 as quoted in: https://www.researchgate.net/publication/318590619_Critical_Thinking_Dispositions_of_Agricultural_Communications_Students ",
"S023","Apply gender analysis integration principles","S023 - Apply gender analysis integration principles","GENDER","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Able to identify and describe gendered roles and division of labor in a household, on the farm, in processing, marketing, and in the community at large and develop targeted interventions on how to improve production of various crops and livestock.","https://ingenaes.illinois.edu/wp-content/uploads/INGENAES-2017_08-Nutrition-and-Gender-in-Extension-Competency-Framework.pdf",
"S024","Apply group dynamics principles","S024 - Apply group dynamics principles","ADVISORY SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation"," Practitioner"," Advanced","Able to describe types and characteristics of groups: primary groups, secondary groups, planned groups and emergent groups that are characterized group interaction, interdependence, structure, size, norms, roles, group goals and cohesion. Able to facilitate group formation through forming (promoting inclusiveness, encouraging people to be connected to one another), storming (able to accept differing ideas, discuss those ideas in the groups, amicably handle the conflict that may arise, and examine and address biases), norming (able to demonstrate that the group processes are free and fair and that members feel welcomed, informed and involved), performing (encourage group members, celebrate group success, and empower members to learn new skills) and adjourning (facilitate the smooth transition of a group to either dissolve or move to a more advanced stage, depending on how members want the group go).","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
