"skills","Key","group","Plant doctors","Extension workers","Agri-dealer employees","Foundation","Practitioner","Advanced","level1","level2","level3"
"Reduce illness risk from irrigation practices","Water management","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced"
"Access reliable information","Extension services","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,1,"Foundation",," Advanced"
"Accurately record data","Record management","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,
"Achieve organization's mission","Project management","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,0,1,,,"Advanced"
"Actively listen","Communication skills","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation"," Practitioner"," Advanced"
"Address cash shortages","Agri-business administration","Agri-dealer employees",0,0,1,0,0,1,,,"Advanced"
"Address needs of the nutritionally vulnerable ","Nutrition","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced"
"Adjust to rapid changes/challenges","Agri-business administration","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced"
"Adopt appropriate pricing strategies","Agricultural marketing","Agri-dealer employees",0,0,1,1,0,0,"Foundation",,
"Advice on safe input use","Advisory services","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation"," Practitioner"," Advanced"
"Advocate for thoughtful location of livestock ","Advisory services","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced"
"Analyse agro-ecological zone","Extension services","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner"," Advanced"
"Analyse business opportunities","Agri-business administration","Agri-dealer employees",0,0,1,1,1,1,"Foundation"," Practitioner"," Advanced"
"Analyse consumer preferences","Agricultural marketing","Extension workers & agri-dealer employees",0,1,1,0,1,0,,"Practitioner",
"Analyse farmer context","Extension services","Plant doctors & Extension workers",1,1,0,1,0,0,"Foundation",,
"Analyse input demand","Input supply","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,
"Analyse nutrition's contribution to health ","Nutrition","Extension workers",0,1,0,0,0,1,,,"Advanced"
"Analyse soil nutrients","Crop management","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced"
